GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate.util,MavenOutputStream,0,67,0,6,0,18,0,8,0,5
MyBatis Migrations Maven plugin,org.mybatis.maven.migrations_maven_plugin,HelpMojo,115,658,34,78,23,133,29,43,0,16
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,StatusCommandMojo,0,8,0,0,0,2,0,2,0,2
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,VersionCommandMojo,0,26,0,2,0,7,0,4,0,3
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,BootstrapCommandMojo,0,8,0,0,0,2,0,2,0,2
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,ScriptCommandMojo,11,172,3,11,4,33,3,7,0,3
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,NewCommandMojo,0,40,0,6,0,11,0,6,0,3
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,UpCommandMojo,0,26,0,2,0,7,0,4,0,3
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,CheckCommandMojo,0,114,1,7,0,26,1,8,0,5
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,RedoCommandMojo,0,26,0,2,0,7,0,4,0,3
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,InitCommandMojo,0,15,0,2,0,4,0,3,0,2
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,DownCommandMojo,0,40,0,6,0,11,0,6,0,3
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,AbstractCommandMojo,13,160,2,6,4,35,2,12,0,10
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate,PendingCommandMojo,0,8,0,0,0,2,0,2,0,2
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate.report,MigrationStatusReportView,5,367,4,18,1,129,4,13,0,6
MyBatis Migrations Maven plugin,org.mybatis.maven.mvnmigrate.report,StatusCommandReportMojo,174,109,23,15,43,23,18,11,2,8
